"athleteID","first_name","last_name","style","pref"
"313640543","Kennan","Vincent","Butterfly","Private only"
"705207150","Macon","Trevino","Butterfly","Private"
"554922978","Ashton","Glass","Freestyle","Private"
"188983118","Kermit","Miles","Breaststroke","Private only"
"446523166","Delilah","Cook","Breaststroke","None"
"918121640","Hu","Cochran","Breaststroke","Private only"
"356744763","Anika","Walton","Butterfly","Private"
"750212359","Amery","Sellers","Breaststroke","Group"
"128659207","Kerry","Merrill","Butterfly","Group only"
"440174075","Brenden","Larson","Breaststroke","Group"
"464512668","Vaughan","Savage","Butterfly","Group"
"891289990","Bradley","Wiley","Freestyle","None"
"958901500","Uma","Simpson","Freestyle","Group"
"533094296","Nasim","Browning","Backstroke","None"
"404196094","Deborah","Garcia","Freestyle","Private only"
"695052571","Nayda","Becker","Breaststroke","Group only"
"79077916","Camilla","Tyson","Freestyle","None"
"465981960","Burke","Winters","Butterfly","Private"
"36927675","Alfonso","Jefferson","Freestyle","Private only"
"845607031","Colton","Barry","Breaststroke","Private"
"11403091","Cadman","Bennett","Freestyle","Group only"
"363900470","Jorden","Burks","Butterfly","Group"
"135702415","Rhona","Nichols","Backstroke","Group only"
"566920662","Lillith","Mckee","Butterfly","Group"
"951175254","Jackson","Wells","Butterfly","Private"
"243215360","Nigel","Matthews","Butterfly","Group only"
"179249275","Oprah","Pitts","Butterfly","Group only"
"397816481","Kyra","Lindsey","Backstroke","Private only"
"865727654","Jemima","Mckay","Butterfly","Private"
"534057396","Sophia","Espinoza","Freestyle","Group"
"991002681","Ryan","Brady","Breaststroke","Private only"
"408972134","Lacota","Fitzpatrick","Backstroke","Private only"
"530305142","Skyler","Gibson","Breaststroke","Private"
"572233268","Colin","Morton","Freestyle","None"
"992430012","Jordan","Holman","Freestyle","Private only"
"461965042","Stone","Richmond","Butterfly","Private"
"262756934","Ria","Benson","Freestyle","Group"
"971948940","Anika","Mejia","Backstroke","Group"
"216563086","Lane","Bryant","Backstroke","Group"
"39823865","Serena","Ewing","Backstroke","Group"
