"athleteID","first_name","last_name","style","pref"
"518059712","Ariel","Robinson","Butterfly","Group only"
"201314226","Samantha","Buck","Freestyle","Group only"
"137279726","Rahim","Lynn","Backstroke","None"
"999795703","Sybil","Knowles","Breaststroke","Private only"
"931014486","Lawrence","Silva","Butterfly","Group only"
"249432837","Odessa","Love","Butterfly","None"
"81711114","Yeo","Clay","Butterfly","Group only"
"340784792","Ainsley","Sosa","Freestyle","None"
"750927181","Zahir","Delaney","Backstroke","Group only"
"681553995","TaShya","Barron","Butterfly","Private only"
"10313226","Meghan","Neal","Breaststroke","Private"
"407216473","Ira","Ball","Backstroke","Group"
"379423238","Dominique","Jarvis","Butterfly","Group only"
"472191727","Murphy","Holder","Breaststroke","Private only"
"63323727","Teagan","Knox","Breaststroke","Private only"
"559664733","Martena","Galloway","Freestyle","Group only"
"380375594","Lucas","Gilliam","Backstroke","Private only"
"108128205","Margaret","Adkins","Freestyle","Private"
"784885754","Aretha","Cummings","Freestyle","Group only"
"297909396","Leslie","Acevedo","Freestyle","Private"
